      -180    0.0000   -1.0000   -0.0000
      -175   -0.0872   -0.9962    0.0875
      -170   -0.1736   -0.9848    0.1763
      -165   -0.2588   -0.9659    0.2679
      -160   -0.3420   -0.9397    0.3640
      -155   -0.4226   -0.9063    0.4663
      -150   -0.5000   -0.8660    0.5774
      -145   -0.5736   -0.8192    0.7002
      -140   -0.6428   -0.7660    0.8391
      -135   -0.7071   -0.7071    1.0000
      -130   -0.7660   -0.6428    1.1918
      -125   -0.8192   -0.5736    1.4281
      -120   -0.8660   -0.5000    1.7321
      -115   -0.9063   -0.4226    2.1445
      -110   -0.9397   -0.3420    2.7475
      -105   -0.9659   -0.2588    3.7321
      -100   -0.9848   -0.1736    5.6713
       -95   -0.9962   -0.0872   11.4300
       -90   -1.0000   -0.0000       100
       -85   -0.9962    0.0872  -11.4300
       -80   -0.9848    0.1736   -5.6713
       -75   -0.9659    0.2588   -3.7321
       -70   -0.9397    0.3420   -2.7475
       -65   -0.9063    0.4226   -2.1445
       -60   -0.8660    0.5000   -1.7321
       -55   -0.8192    0.5736   -1.4281
       -50   -0.7660    0.6428   -1.1918
       -45   -0.7071    0.7071   -1.0000
       -40   -0.6428    0.7660   -0.8391
       -35   -0.5736    0.8192   -0.7002
       -30   -0.5000    0.8660   -0.5774
       -25   -0.4226    0.9063   -0.4663
       -20   -0.3420    0.9397   -0.3640
       -15   -0.2588    0.9659   -0.2679
       -10   -0.1736    0.9848   -0.1763
        -5   -0.0872    0.9962   -0.0875
         0    0.0000    1.0000    0.0000
         5    0.0872    0.9962    0.0875
        10    0.1736    0.9848    0.1763
        15    0.2588    0.9659    0.2679
        20    0.3420    0.9397    0.3640
        25    0.4226    0.9063    0.4663
        30    0.5000    0.8660    0.5774
        35    0.5736    0.8192    0.7002
        40    0.6428    0.7660    0.8391
        45    0.7071    0.7071    1.0000
        50    0.7660    0.6428    1.1918
        55    0.8192    0.5736    1.4281
        60    0.8660    0.5000    1.7321
        65    0.9063    0.4226    2.1445
        70    0.9397    0.3420    2.7475
        75    0.9659    0.2588    3.7321
        80    0.9848    0.1736    5.6713
        85    0.9962    0.0872   11.4300
        90    1.0000   -0.0000      -100
        95    0.9962   -0.0872  -11.4300
       100    0.9848   -0.1736   -5.6713
       105    0.9659   -0.2588   -3.7321
       110    0.9397   -0.3420   -2.7475
       115    0.9063   -0.4226   -2.1445
       120    0.8660   -0.5000   -1.7321
       125    0.8192   -0.5736   -1.4281
       130    0.7660   -0.6428   -1.1918
       135    0.7071   -0.7071   -1.0000
       140    0.6428   -0.7660   -0.8391
       145    0.5736   -0.8192   -0.7002
       150    0.5000   -0.8660   -0.5774
       155    0.4226   -0.9063   -0.4663
       160    0.3420   -0.9397   -0.3640
       165    0.2588   -0.9659   -0.2679
       170    0.1736   -0.9848   -0.1763
       175    0.0872   -0.9962   -0.0875
       180   -0.0000   -1.0000    0.0000
